DATE DE MISE A JOUR DES TARIFS : 27/09/2019;
Code article;Marque;Famille;Sous-famille;PVGC T.T.C.;Coeff.;Commentaires;P;Gamme;Prix facture fournisseur;R HF D;R HF C;R P PR;Prix net fournisseur;Prix net grossiste;Code barre;
HM676G0W1F;SIEMENS;CUISSON;Four combi micro ondes;1499;2.23;;P;;738.38;9;0;0;671.93;729.98;4242003672013;
HB672GBW1S;SIEMENS;CUISSON;Four encastrable pyrolyse;969;2.13;;P;;500;9;0;0;455;494.31;4242003814673;
HB672GBW1F;SIEMENS;CUISSON;Four encastrable pyrolyse;929;2.35;;P;;435.09;9;0;0;395.93;430.15;4242003672549;
HB675G5W1F;SIEMENS;CUISSON;Four encastrable pyrolyse;1159;2.25;;P;R;567.01;9;0;0;515.98;560.56;4242003671740;
HB675GBW1F;SIEMENS;CUISSON;Four encastrable pyrolyse;999;1.81;CTM;P;;605.66;9;0;0;551.15;605.57;4242003672624;
LC97FVW60;SIEMENS;CUISSON;Hotte;1579;1.81;CTM;P;;956.95;9;0;0;870.82;956.8;4242003761274;
LC91KWW60;SIEMENS;CUISSON;Hotte;1509;1.81;CTM;P;;914.55;9;0;0;832.24;914.41;4242003761106;
CT636LEW1;SIEMENS;CUISSON;Machine à café encastrable;2559;1.87;CTM;P;;1505.88;9;0;0;1370.35;1534.79;4242003677872;
BF634LGW1;SIEMENS;CUISSON;Micro ondes intégrable;779;2.25;;P;R;380.64;9;0;0;346.38;376.31;4242003676424;
BF555LMW0;SIEMENS;CUISSON;Micro ondes intégrable;499;2.28;;P;;240.3;9;0;0;218.67;237.56;4242003805688;
EX975KXW1E;SIEMENS;CUISSON;Plaque induction;2009;1.81;CTM;P;;1217.38;9;0;0;1107.82;1217.2;4242003765685;
GS58NAW35;SIEMENS;FROID;Congélateur armoire;1099;2.23;;P;D;542.36;9;0;0;493.55;536.19;4242003833094;
GS58NAW45;SIEMENS;FROID;Congélateur armoire;1229;2.16;;P;;623.85;9;0;0;567.7;616.75;4242003833087;
KD33VVW30;SIEMENS;FROID;Réfrigérateur 2ptes;669;2.15;;P;R;341.74;9;0;0;310.98;337.86;4242003540978;
KG39NVW35;SIEMENS;FROID;Réfrigérateur combiné;869;2.19;;P;R;436.56;9;0;0;397.27;431.59;4242003724910;
KG56NXW30;SIEMENS;FROID;Réfrigérateur combiné;1049;2.18;$0;P;L;529.2;9;0;0;481.57;523.19;4242003736753;
WD14H464FF;SIEMENS;LAVAGE;Lavante séchante hublot;1199;2.21;$1;P;R;595.36;9;0;0;541.78;588.58;4242003828779;
WD15G462FF;SIEMENS;LAVAGE;Lavante séchante hublot;969;2.18;;P;L;487.63;9;0;0;443.74;482.08;4242003819050;
WK14D541FF;SIEMENS;LAVAGE;Lavante séchante intégrable;1399;1.94;$0;P;;792.99;9;0;0;721.62;783.97;4242003722527;
WM14B211FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;499;2.32;;P;R;236.06;9;0;0;214.81;233.37;4242003675489;
WM14N2X0FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;799;1.86;$0;P;;472.07;9;0;0;429.58;466.7;4242003770764;
WM14E270FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;499;1.51;$0;P;;363.4;9;0;0;330.69;363.34;4242003645642;
WM14W690FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;999;2.18;;P;L;504;9;0;0;458.64;498.27;4242003681800;
WM14T458FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;729;2.29;;P;L;349.28;9;0;0;317.84;345.31;4242003797563;
WM14T409FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;829;2.4;;P;L;379.1;9;0;0;344.98;374.79;4242003805619;
WM14E277FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;519;2.26;;P;L;251.99;9;0;0;229.31;249.12;4242003763780;
WM12B211FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;479;2.3;;P;L;228.99;9;0;0;208.38;226.39;4242003678749;
WM12N260FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;599;2.31;;P;O;284.96;9;0;0;259.31;281.71;4242003732069;
WS12L260FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;729;2.14;$0;P;R;374.23;9;0;0;340.55;369.97;4242003827918;
WMH6Y892FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;1399;2.17;;P;;708.08;9;0;0;644.35;700.02;4242003732151;
WM14N060FF;SIEMENS;LAVAGE;Lave linge hublot pose libre;579;2.35;;P;R;271.17;9;0;0;246.76;268.08;4242003732083;
WM14U940EU;SIEMENS;LAVAGE;Lave linge hublot pose libre;1599;1.67;CTM;P;;1053.33;9;0;0;958.53;1053.17;4242003787557;
WI14W540FF;SIEMENS;LAVAGE;Lave linge intégrable;1099;1.99;;P;R;607.26;9;0;0;552.61;600.35;4242003770054;
WI12A201FF;SIEMENS;LAVAGE;Lave linge intégrable;899;1.81;CTM;P;;545.09;9;0;0;496.03;545;4242003722640;
SR236W01ME;SIEMENS;LAVAGE;Lave vaisselle 45cm pose libre;659;2.2;;P;R;328.87;9;0;0;299.27;325.12;4242003818589;
SN558W09ME;SIEMENS;LAVAGE;Lave vaisselle 60cm intégrable;869;2.18;;P;R;438.14;9;0;0;398.71;433.16;4242003827130;
SN536W03ME;SIEMENS;LAVAGE;Lave vaisselle 60cm intégrable;809;2.26;;P;R;393.04;9;0;0;357.67;388.57;4242003767757;
SN236W03NE;SIEMENS;LAVAGE;Lave vaisselle 60cm pose libre;749;2.23;;P;L;369.77;9;0;0;336.49;365.57;4242003855195;
SN215W02AE;SIEMENS;LAVAGE;Lave vaisselle 60cm pose libre;509;2.25;;P;L;248.9;9;0;0;226.5;246.06;4242003787625;
SN236W01GE;SIEMENS;LAVAGE;Lave vaisselle 60cm pose libre;629;2.24;;P;R;308.36;9;0;0;280.61;304.85;4242003793558;
SN258W00TE;SIEMENS;LAVAGE;Lave vaisselle 60cm pose libre;919;2.09;;P;;482.36;9;0;0;438.95;476.87;4242003800867;
SN236W03ME;SIEMENS;LAVAGE;Lave vaisselle 60cm pose libre;749;2.38;;P;;345.12;9;0;0;314.06;341.2;4242003762554;
SN236W02GE;SIEMENS;LAVAGE;Lave vaisselle 60cm pose libre;599;2.07;;P;;317.78;9;0;0;289.18;314.17;4242003782798;
SN236W03GE;SIEMENS;LAVAGE;Lave vaisselle 60cm pose libre;619;2.34;;P;O;290.34;9;0;0;264.21;287.03;4242003793930;
WT43N207FF;SIEMENS;LAVAGE;Sèche linge hublot condensatio;569;2.19;;P;L;285.52;9;0;0;259.82;282.26;4242003860953;
WT46G401FF;SIEMENS;LAVAGE;Sèche linge hublot condensatio;629;2.3;;P;;300.36;9;0;0;273.33;296.95;4242003771754;
WT43N200FF;SIEMENS;LAVAGE;Sèche linge hublot condensatio;569;2.19;$0;P;;285.52;9;0;0;259.82;282.26;4242003763902;
WT45G408FF;SIEMENS;LAVAGE;Sèche linge hublot condensatio;629;2.18;;P;O;317.77;9;0;0;289.17;314.16;4242003861172;
WT33A200FF;SIEMENS;LAVAGE;Sèche linge hublot évacuation;529;2.22;;P;R;261.31;9;0;0;237.79;258.34;4242003754498;
WT45RV01FF;SIEMENS;LAVAGE;Sèche linge pompe à chaleur;829;2.26;$0;P;L;402.58;9;0;0;366.35;397.99;4242003838747;
WT45W461FF;SIEMENS;LAVAGE;Sèche linge pompe à chaleur;929;2.18;;P;;468.56;9;0;0;426.39;463.22;4242003846797;
WT47W591FF;SIEMENS;LAVAGE;Sèche linge pompe à chaleur;1099;2.05;$0;P;R;589.55;9;0;0;536.49;582.85;4242003831120;
WT45RVX0FF;SIEMENS;LAVAGE;Sèche linge pompe à chaleur;899;2.07;;P;;476.29;9;0;0;433.42;470.87;4242003838334;
WT47W491FF;SIEMENS;LAVAGE;Sèche linge pompe à chaleur;999;2.18;$0;P;L;503.61;9;0;0;458.29;497.87;4242003832851;
LZ27001;SIEMENS;CUISSON;Accessoires cuisson;39;1.63;CTM;P;;26.33;9;0;0;23.96;26.33;4242003680889;
ET375FAB1E;SIEMENS;CUISSON;Accessoires cuisson;999;1.87;CTM;P;;588.23;9;0;0;535.29;599.52;4242003689073;
BI630ENS1;SIEMENS;CUISSON;Accessoires cuisson;299;2.08;;P;;158.02;9;0;0;143.8;156.22;4242003676646;
